timestamp,context_id,scenario_id,risk_level,control_allowed,need_human_review,blocked_reason
2026-06-16T15:56:31.551722+00:00,c7602a4e-008e-4970-b7d2-24f3d6b13df8,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-16T15:56:31.555814+00:00,ff67e5fe-9226-4708-b3de-d5ec1c656dab,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-16T15:56:31.562164+00:00,ed4cc41c-0a87-4d85-949e-567a03784aaf,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-18T01:10:03.958243+00:00,e224e382-690f-437a-a940-614ffb330a11,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T01:10:03.963846+00:00,f2d06f58-75c5-4cdb-a1c3-0d59a36668ec,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-18T01:10:03.976378+00:00,dc6443f0-f798-482f-a766-d8c24f2c475f,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-18T01:10:59.775918+00:00,b3bb6610-465f-40fe-8ebe-e802930eeede,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T01:11:17.947777+00:00,2e4f0bfe-e841-4035-b61a-f8cf3126b5b6,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T02:07:51.499185+00:00,fa77d00c-4700-4a0c-90ef-2e02ce58c4ae,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-18T02:07:51.514183+00:00,1c23d6c1-d13b-4663-a690-47040b54512e,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
